Tipo de Publicacion,Tipo de Propiedad,Direccion,Numero de Piezas,Numero de Banos,M2 Utiles,M2 Totales,Precio en Pesos,Precio en UF,Fecha de Publicacion,Fecha de Extraccion,Lat,Lng,Estacionamiento Incluido,Bodega,Condicion,Codigo,Url
venta,departamento,"3 Dormitorios, La Castellana ,precioso Las Condes, Nueva Las Condes, Las Condes",3.0,2.0,100.0,100.0,264821313.0,9300.0,2020-02-20,2020-03-02,-33.4088211,-70.5771332,True,1.0,Usado,5441296,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5441296-3-dormitorios-la-castellana-precioso-las-condes-uda#position=1&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Metro Manquehue, Los Miitares, Rosario Norte, Nueva Las Condes, Las Condes",4.0,3.0,125.0,140.0,330314756.0,11600.0,2020-02-10,2020-03-02,-33.409034,-70.5686154,True,,Usado,5417148,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5417148-metro-manquehue-los-miitares-rosario-norte-uda#position=2&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Flor De Azucenas, Nueva Las Condes, Las Condes",4.0,4.0,145.0,153.0,347400002.0,12200.0,2020-02-13,2020-03-02,-33.4088058,-70.573571,True,,Usado,5325584,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5325584-flor-de-azucenas-uda#position=3&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Los Militares / Rosario Norte, Nueva Las Condes, Las Condes",4.0,3.0,120.0,130.0,301554592.0,10590.0,2019-12-30,2020-03-02,-33.3733902,-70.5176973,True,,Usado,5273643,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5273643-los-militares-rosario-norte-uda#position=4&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Metro Manquehue - Apoquindo / Flor De Az, Nueva Las Condes, Las Condes",3.0,2.0,77.0,99.0,213565575.0,7500.0,2020-02-13,2020-03-02,-33.409034,-70.5686154,True,,Usado,5220739,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5220739-metro-manquehue-apoquindo-flor-de-az-uda#position=5&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Alonso De Cordoba-los Militares, Nueva Las Condes, Las Condes",3.0,2.0,109.0,111.0,266529838.0,9360.0,2020-02-21,2020-03-02,-33.4071274,-70.5747986,False,,Usado,5371555,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5371555-alonso-de-cordobalos-militares-uda#position=6&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Los Militares 5200, Las Condes, Nueva Las Condes, Las Condes",4.0,3.0,125.0,139.0,297568034.0,10450.0,2020-02-12,2020-03-02,-33.4073563,-70.5754166,True,1.0,Usado,5422974,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5422974-los-militares-5200-las-condes-uda#position=7&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Zona Manquehue / Los Militares, Nueva Las Condes, Las Condes",2.0,2.0,70.0,88.0,205022952.0,7200.0,2020-02-19,2020-03-02,-33.4031942,-70.5699841,True,1.0,Usado,5437626,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5437626-zona-manquehue-los-militares-uda#position=8&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Cerro El Plomo, A De Córdova, Nueva Las Condes, Nueva Las Condes, Las Condes",2.0,2.0,76.0,81.0,213565575.0,7500.0,2020-02-25,2020-03-02,-33.4059296,-70.5731125,False,,Usado,5311472,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5311472-cerro-el-plomo-a-de-cordova-nueva-las-condes-uda#position=9&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
venta,departamento,"Barrio El Golf, Nueva Las Condes, Las Condes",2.0,2.0,60.0,60.0,284754100.0,10000.0,2020-02-25,2020-03-02,-33.4055977,-70.5789413,True,,Usado,5386060,https://www.portalinmobiliario.com/venta/departamento/las-condes-metropolitana/5386060-barrio-el-golf-uda#position=10&type=item&tracking_id=1a728899-ef55-4246-b23c-cf02bea03fe8
